ACCEPT_CONTENT_TYPE	TP	FP	TN	FN
上报催办	1	0	3	0
业扩变更	1	7	259	2
业扩报装	1	7	81	0
业扩超时	2	10	6	2
中介	1	5	23	1
中介来电	5	7	91	6
中介查户号	1	0	1	0
中介查询电费	1	0	1	1
交费差错更正	1	0	19	2
人员态度	88	22	13	3
人员违规	79	52	12	4
企业信息	1	14	8	0
供电企业供电设施消缺	3	6	171	4
供电服务	0	0	13	1
供电服务2	1	0	14	0
供电设施	2	0	1	0
供电设施消缺	0	0	11	2
信息不全	1	1	0	0
信息咨询	4	7	2253	23
信息补充	11	1	3	3
停电信息	3	25	5124	67
停电信息2	1	0	5	0
停电公告	1	12	5	1
停电问题	0	14	102	6
催收电费	148	14	4208	32
催缴费	316	26	45	2
其他	0	0	9	1
分时电价	654	542	10493	622
初步确定串户	3	1	2	0
前工单	0	0	1	1
前期工单	0	0	10	1
协助	10	12	851	16
卡表故障	0	1	241	4
发票领取方式	1	2	93	0
取消短信	6	1	94	2
变更用电	1	5	81	0
变更用电业	1	0	1	0
变更用电业务	10	15	3928	43
咨询停电信息	3	0	1	0
咨询密码	2	0	1	0
咨询电价电费	2	2	4	0
咨询电表号	1	0	2	1
咨询电量异常	1	1	1	1
咨询缴费总户号	1	0	15	0
回呼	0	5	368	7
回呼客户	1	1	65	3
回呼工单	0	0	23	1
回呼无声	1	0	1	0
回呼无声电话	1	0	1	0
回呼电话	4	7	2103	44
回呼，查询电费	1	0	1	0
回访	1	0	5	0
回访派单	1	7	189	2
处理结果	0	0	1	1
处理进度	7	25	3320	88
复电	46	14	88	8
复电申请	582	219	920	147
多媒体	1	1	0	0
多户无电	257	100	6440	121
大工业电费	11	1	13	0
定比定量	2	0	2	0
定量定比调整	1	0	11	0
客户信息不全待报修	1	0	3	0
客户信息不全，待反映	0	0	10	1
客户信息不全，待核实	0	1	14	1
客户催办	1225	41	18	11
客户联系方式调整	1	10	89	0
家用电器损坏	1	0	1	0
家电损坏	2	1	83	2
密码重置	0	27	50	1
对内投诉	2	2	32	1
对内表扬	1	0	1	2
居民/非居民内部故障	1	4	27	0
居民内部故障	0	42	149	3
异常来电	3	5	28	2
户表轮换	5	1	75	4
抄表	108	8	5	5
抄表收费	0	0	2	1
抄表数据异常	276	13	1179	78
抄表日期	4	0	3	1
抄表时间	1	0	117	6
抄表示数	8833	4022	15921	2982
抢修时限	3	1	1	0
抢修服务	1	5	2	1
抢修质量	1	0	1	0
掌上电力APP	2	10	932	20
接户线断	1	0	1	0
撤销业务	0	10	426	20
支付宝缴费	1	0	1	0
收费标准	4	2	31	1
新增订阅	192	86	2604	99
新装增容	2	13	771	20
施工人员服务态度	2	5	0	0
施工人员服务规范	1	7	0	0
施工现场恢复	1	2	0	0
无故停电	53	3	5	2
服务渠道	0	2	682	14
未收到电力短信	2	1	0	0
杂项业务	2	8	193	1
查询电费	35037	18330	153829	14591
查询电量	5	1	0	1
校验电表	5	0	64	3
核实信息	0	0	12	1
欠费停复电	469	155	457	101
欠费复电登记	1041	234	1128	166
烧表	1	1	4	0
用户侧需求配合	0	0	2	1
用户信息	2174	1077	2042	832
用电业务	0	7	72	8
用电变更	12	26	51	20
用电技术	0	1	31	1
电价标准	119	43	1608	128
电价电费	18	1	389	14
电价电量	1	0	1	0
电卡表故障	1	0	5	0
电器损坏核损	5	17	633	13
电线打火	0	3	5	3
电能表异常	169	54	3234	38
电能计量	61	9	116	3
电表故障	0	0	48	1
电费	1	0	1	0
电费信息	0	0	1	1
电费充值卡	3	1	79	3
电费发票	14	1	615	12
电费抄核收	881	164	53	73
电费电价	104	16	119	11
电费电量及违约金	3	1	0	0
电费误充	1	0	31	5
电费账单寄送	48	0	286	11
电费退补	0	0	24	1
电费通知单	1	0	9	0
电量异常	667	450	6582	609
短信变更	43	23	2225	42
短信订阅	163	235	8150	299
第三方支付	0	0	3	1
第三方网点	0	2	67	2
系统故障	1	3	49	0
系统补单	1	0	7	0
缴费	1	0	5	0
缴费方式	419	232	5872	264
缺相	0	9	28	1
网上缴费	0	0	5	1
网站绑定	1	1	0	0
网站账户	2	0	1	0
营业厅服务	11	8	2	1
行风廉政	1	0	39	1
补充信息	955	209	16	20
表箱故障	40	20	967	16
表计产权	1	0	4	0
表计信息	37	14	502	19
表计故障	24	4	207	9
表计故障2	10	2	10	2
表计线接错	82	60	33	9
表计线路接错	1	1	20	0
计划结算电费	1	0	15	3
计量表位置不合理	0	1	57	1
计量装置	33	12	28	2
设备噪音	0	0	28	1
账户预收余额	1	5	55	0
跨部门回呼	0	0	2	2
退订	8	134	15097	217
重复工单	0	0	6	1
重复缴费	1	0	77	2
错发短信	0	3	19	2
阶梯电价	695	146	2449	160
非家电设备损坏	0	0	30	2
非居民内部故障	1	9	3	1
预约抄表	5	0	180	10
频繁停电	51	10	6	2
频繁跳闸	0	1	62	1
验表	478	185	531	137
验表超时	31	6	0	1
